ephemeris,julian_date,target,center,x,y,z,vx,vy,vz
de405,2415093.0000000000000000,1,0,-3.6147318286669791e+07,2.9633673721419290e+07,1.9517931571395285e+07,-3.7208637554040295e+06,-2.7108185018294128e+06,-1.0607224902717229e+06
de405,2415094.0000000000000000,1,0,-3.9723122668331154e+07,2.6816007384778731e+07,1.8385066985229239e+07,-3.4284244021247155e+06,-2.9193462458360768e+06,-1.2024883882025843e+06
de405,2415095.0000000000000000,1,0,-4.3000260776257008e+07,2.3805208766477477e+07,1.7118009972505584e+07,-3.1242506794607132e+06,-3.0972073786205570e+06,-1.3290989011595633e+06
de405,2415096.0000000000000000,1,0,-4.5969077514750190e+07,2.0631498081767254e+07,1.5731893789505612e+07,-2.8124209053610549e+06,-3.2453638792275940e+06,-1.4406435757817568e+06
de405,2415097.0000000000000000,1,0,-4.8623751623823471e+07,1.7323946639465462e+07,1.4241636901914509e+07,-2.4965216739181429e+06,-3.3651314501681710e+06,-1.5374519836114272e+06
de405,2415098.0000000000000000,1,0,-5.0961800405468553e+07,1.3910180829217585e+07,1.2661733407870697e+07,-2.1796451923889313e+06,-3.4580668727463135e+06,-1.6200338465517431e+06
de405,2415099.0000000000000000,1,0,-5.2983593684649475e+07,1.0416190082155269e+07,1.1006099942507360e+07,-1.8644090352815369e+06,-3.5258729672876210e+06,-1.6890262318625231e+06
de405,2415100.0000000000000000,1,0,-5.4691895482769743e+07,6.8662207645581663e+06,9.2879713522129878e+06,-1.5529906459716919e+06,-3.5703217045593420e+06,-1.7451489060360596e+06
de405,2415101.0000000000000000,1,0,-5.6091444888050847e+07,3.2827382636255519e+06,7.5198368594670426e+06,-1.2471703066872968e+06,-3.5931944469396980e+06,-1.7891679551394035e+06
de405,2415102.0000000000000000,1,0,-5.7188582069860071e+07,-3.1355895529030077e+05,5.7134086750210254e+06,-9.4837777529452613e+05,-3.5962373983572046e+06,-1.8218671451940034e+06
